age,male,female
0,0.000522000,0.000389000
1,0.000384000,0.000304000
2,0.000277000,0.000218000
3,0.000215000,0.000183000
4,0.000181000,0.000158000
5,0.000166000,0.000138000
6,0.000149000,0.000121000
7,0.000139000,0.000110000
8,0.000134000,0.000103000
9,0.000133000,0.000101000
10,0.000129000,0.000103000
11,0.000131000,0.000110000
12,0.000153000,0.000123000
13,0.000196000,0.000141000
14,0.000255000,0.000159000
15,0.000344000,0.000181000
16,0.000455000,0.000206000
17,0.000540000,0.000232000
18,0.000584000,0.000243000
19,0.000607000,0.000249000
20,0.000624000,0.000253000
21,0.000641000,0.000259000
22,0.000668000,0.000273000
23,0.000710000,0.000295000
24,0.000762000,0.000323000
25,0.000821000,0.000356000
26,0.000885000,0.000367000
27,0.000926000,0.000373000
28,0.000965000,0.000380000
29,0.001008000,0.000390000
30,0.001061000,0.000401000
31,0.001127000,0.000415000
32,0.001209000,0.000440000
33,0.001305000,0.000481000
34,0.001413000,0.000523000
35,0.001532000,0.000559000
36,0.001661000,0.000594000
37,0.001804000,0.000635000
38,0.001949000,0.000692000
39,0.002089000,0.000756000
40,0.002254000,0.000822000
41,0.002429000,0.000888000
42,0.002636000,0.000951000
43,0.002875000,0.001026000
44,0.003139000,0.001118000
45,0.003418000,0.001231000
46,0.003714000,0.001357000
47,0.004033000,0.001490000
48,0.004381000,0.001636000
49,0.004766000,0.001804000
50,0.005136000,0.001992000
51,0.005524000,0.002207000
52,0.005939000,0.002415000
53,0.006351000,0.002620000
54,0.006754000,0.002813000
55,0.007189000,0.003022000
56,0.007689000,0.003275000
57,0.008320000,0.003599000
58,0.009084000,0.004002000
59,0.010040000,0.004469000
60,0.010943000,0.004984000
61,0.011680000,0.005481000
62,0.012592000,0.005983000
63,0.013699000,0.006557000
64,0.014981000,0.007219000
65,0.016404000,0.007993000
66,0.017892000,0.008896000
67,0.019497000,0.009948000
68,0.021322000,0.011162000
69,0.023359000,0.012540000
70,0.025556000,0.014081000
71,0.027961000,0.015770000
72,0.030517000,0.017537000
73,0.033290000,0.019528000
74,0.036264000,0.021753000
75,0.039482000,0.024265000
76,0.042913000,0.027089000
77,0.046627000,0.030202000
78,0.050663000,0.033670000
79,0.055090000,0.037470000
80,0.059942000,0.041628000
81,0.065252000,0.046210000
82,0.070972000,0.051234000
83,0.077204000,0.056797000
84,0.083852000,0.062902000
85,0.091053000,0.069618000
86,0.098875000,0.077205000
87,0.107353000,0.085467000
88,0.116732000,0.094780000
89,0.127197000,0.105023000
90,0.139237000,0.116733000
91,0.153157000,0.130814000
92,0.166960000,0.148153000
93,0.182008000,0.165051000
94,0.198411000,0.183875000
95,0.216292000,0.204847000
96,0.235786000,0.228211000
97,0.257035000,0.254239000
98,0.280201000,0.283236000
99,0.305453000,0.315540000
100,0.332982000,0.351529000
101,0.362992000,0.391622000
102,0.395706000,0.436288000
103,0.431369000,0.486048000
104,0.470245000,0.541484000
105,0.512626000,0.603242000
106,0.558826000,0.672044000
107,0.609189000,0.748693000
108,0.664092000,0.834085000
109,0.723942000,0.929215000
110,1.000000000,1.000000000
,,
